Time,CMIP7 v2.2.1
1920.708333,-0.0580272
1920.791667,-0.0541376
1920.875,-0.0481492
1920.958333,-0.0421375
1921.041667,-0.0371589
1921.125,-0.0319084
1921.208333,-0.0281765
1921.291667,-0.0263406
1921.375,-0.0252668
1921.458333,-0.025004
1921.541667,-0.0252917
1921.625,-0.0260678
1921.708333,-0.026353
1921.791667,-0.0268425
1921.875,-0.0246443
1921.958333,-0.0219175
1922.041667,-0.0197833
1922.125,-0.0169952
1922.208333,-0.01539
1922.291667,-0.0153925
1922.375,-0.0159109
1922.458333,-0.0170178
1922.541667,-0.0184846
1922.625,-0.0202728
1922.708333,-0.0214244
1922.791667,-0.0226583
1922.875,-0.0210876
1922.958333,-0.0189002
1923.041667,-0.017228
1923.125,-0.0148363
1923.208333,-0.0135715
1923.291667,-0.0138687
1923.375,-0.0146424
1923.458333,-0.0159689
1923.541667,-0.0176246
1923.625,-0.0195746
1923.708333,-0.0208635
1923.791667,-0.022215
1923.875,-0.0207352
1923.958333,-0.0186255
1924.041667,-0.0170194
1924.125,-0.020069
1924.208333,-0.161132
1924.291667,-0.242095
1924.375,-0.28158
1924.458333,-0.29319
1924.541667,-0.287651
1924.625,-0.272407
1924.708333,-0.251514
1924.791667,-0.228796
1924.875,-0.213584
1924.958333,-0.195583
1925.041667,-0.174455
1925.125,-0.153131
1925.208333,-0.134494
1925.291667,-0.119205
1925.375,-0.106082
1925.458333,-0.0951917
1925.541667,-0.0861526
1925.625,-0.0787808
1925.708333,-0.0719768
1925.791667,-0.0663041
1925.875,-0.0587418
1925.958333,-0.051362
1926.041667,-0.0452034
1926.125,-0.0389228
1926.208333,-0.0343145
1926.291667,-0.156782
1926.375,-0.371922
1926.458333,-0.481323
1926.541667,-0.521227
1926.625,-0.519091
1926.708333,-0.49237
1926.791667,-0.453516
1926.875,-0.407036
1926.958333,-0.359601
1927.041667,-0.31481
1927.125,-0.27276
1927.208333,-0.235843
1927.291667,-0.205006
1927.375,-0.179144
1927.458333,-0.157292
1927.541667,-0.138864
1927.625,-0.123489
1927.708333,-0.10989
1927.791667,-0.0984517
1927.875,-0.0859926
1927.958333,-0.0744684
1928.041667,-0.0648017
1928.125,-0.0555488
1928.208333,-0.0484312
1928.291667,-0.0437429
1928.375,-0.0402447
1928.458333,-0.0379403
1928.541667,-0.0365064
1928.625,-0.0358334
1928.708333,-0.0348861
1928.791667,-0.0343344
1928.875,-0.0312067
1928.958333,-0.0276739
1929.041667,-0.0248582
1929.125,-0.021471
1929.208333,-0.0193709
1929.291667,-0.018977
1929.375,-0.0191659
1929.458333,-0.0200056
1929.541667,-0.0355655
1929.625,-0.0388885
1929.708333,-0.0389376
1929.791667,-0.0385134
1929.875,-0.0351944
1929.958333,-0.0313429
1930.041667,-0.0281636
1930.125,-0.0244078
1930.208333,-0.021963
1930.291667,-0.0212537
1930.375,-0.0211563
1930.458333,-0.0217468
1930.541667,-0.0227842
1930.625,-0.0242158
1930.708333,-0.0250561
1930.791667,-0.0260293
1930.875,-0.0241842
1930.958333,-0.0217427
1931.041667,-0.0198568
1931.125,-0.01726
1931.208333,-0.0158364
1931.291667,-0.0303633
1931.375,-0.0401135
1931.458333,-0.0494886
1931.541667,-0.0494272
1931.625,-0.048277
1931.708333,-0.0463486
1931.791667,-0.0446663
1931.875,-0.0403911
1931.958333,-0.0357727
1932.041667,-0.0319642
1932.125,-0.0402482
1932.208333,-0.0409025
1932.291667,-0.0598882
1932.375,-0.125291
1932.458333,-0.16352
1932.541667,-0.183742
1932.625,-0.192004
1932.708333,-0.191482
1932.791667,-0.185824
1932.875,-0.174193
