CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CH3Cl,CH3CCl3,CH3Br,Halon-1202,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C6F14,SF6,HFC-125,HFC-134a,HFC-143a,HFC-227ea,HFC-23,HFC-245fa,HFC-32,HFC-4310mee
0.12789906043647092,0.029815479301114674,0.010598807739555674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000279319135587143,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13663285381808582,0.031000293218947463,0.010959112512534756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002917598332383145,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14506914951978755,0.03210994264563361,0.011319769691725502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030472350523236345,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15297737407811351,0.0330988785312653,0.011681019458130939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031825264821132906,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15978109537840657,0.03408580347536166,0.012036120454526697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003323857221236728,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165427549166823,0.03519076933422676,0.012345332186753143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034715484270562746,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17013789950104746,0.0363699064833193,0.012581191888544617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003626054036817734,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17415013823794073,0.037558525094658436,0.01281752605626466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037874986741488726,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17765797151664037,0.03875347837176827,0.013127129919252871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039558379136796494,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18072120916806855,0.04001870042728454,0.01348122545704007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004131324756108349,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
