Time,CMIP6
1895.125,-0.00575054
1895.208333,-0.00520441
1895.291667,-0.00484071
1895.375,-0.00418207
1895.458333,-0.00443362
1895.541667,-0.00505391
1895.625,-0.00720809
1895.708333,-0.00749992
1895.791667,-0.00776464
1895.875,-0.00681625
1895.958333,-0.00552455
1896.041667,-0.00583162
1896.125,-0.00594226
1896.208333,-0.00539414
1896.291667,-0.00502919
1896.375,-0.00437005
1896.458333,-0.00462214
1896.541667,-0.00524553
1896.625,-0.0074068
1896.708333,-0.00769909
1896.791667,-0.00796524
1896.875,-0.00701459
1896.958333,-0.00571914
1897.041667,-0.00602762
1897.125,-0.0061381
1897.208333,-0.00558796
1897.291667,-0.00522185
1897.375,-0.00456207
1897.458333,-0.00481482
1897.541667,-0.00544132
1897.625,-0.00760995
1897.708333,-0.00790253
1897.791667,-0.00817032
1897.875,-0.00721731
1897.958333,-0.00591801
1898.041667,-0.00622776
1898.125,-0.0063383
1898.208333,-0.00578598
1898.291667,-0.00541865
1898.375,-0.00475823
1898.458333,-0.0050117
1898.541667,-0.00564134
1898.625,-0.00781742
1898.708333,-0.00811041
1898.791667,-0.00837973
1898.875,-0.00742442
1898.958333,-0.00612114
1899.041667,-0.00643221
1899.125,-0.00654263
1899.208333,-0.00598819
1899.291667,-0.00561959
1899.375,-0.00495855
1899.458333,-0.00521258
1899.541667,-0.00584549
1899.625,-0.00802922
1899.708333,-0.00832266
1899.791667,-0.00859364
1899.875,-0.00763583
1899.958333,-0.00632856
1900.041667,-0.00664084
1900.125,-0.0067511
1900.208333,-0.00619457
1900.291667,-0.00582462
1900.375,-0.005163
1900.458333,-0.00541773
1900.541667,-0.00605394
1900.625,-0.00824545
1900.708333,-0.00853921
1900.791667,-0.00881184
1900.875,-0.00785159
1900.958333,-0.00654027
1901.041667,-0.00685364
1901.125,-0.00696391
1901.208333,-0.00640511
1901.291667,-0.0060338
1901.375,-0.00537155
1901.458333,-0.00562693
1901.541667,-0.00626657
1901.625,-0.00846599
1901.708333,-0.0087603
1901.791667,-0.00903454
1901.875,-0.00807177
1901.958333,-0.00675623
1902.041667,-0.00707067
1902.125,-0.00718086
1902.208333,-0.00661983
1902.291667,-0.00624715
1902.375,-0.00558421
1902.458333,-0.00584033
1902.541667,-0.00648342
1902.625,-0.00869096
1902.708333,-0.0121307
1902.791667,-0.310467
1902.875,-1.0717
1902.958333,-1.48394
1903.041667,-1.22247
1903.125,-1.029
1903.208333,-1.0573
1903.291667,-1.05523
1903.375,-1.02965
1903.458333,-0.990476
1903.541667,-0.942877
1903.625,-0.902906
1903.708333,-0.868402
1903.791667,-0.837419
1903.875,-0.79727
1903.958333,-0.792631
1904.041667,-0.823836
1904.125,-0.783878
1904.208333,-0.691684
1904.291667,-0.610337
1904.375,-0.540344
1904.458333,-0.486071
1904.541667,-0.438694
1904.625,-0.401698
1904.708333,-0.368336
1904.791667,-0.339969
1904.875,-0.311993
1904.958333,-0.274263
1905.041667,-0.22996
1905.125,-0.196935
1905.208333,-0.175882
1905.291667,-0.15779
1905.375,-0.141897
1905.458333,-0.129595
1905.541667,-0.118398
1905.625,-0.109924
1905.708333,-0.100433
1905.791667,-0.0923816
1905.875,-0.083936
1905.958333,-0.0678423
1906.041667,-0.0467032
1906.125,-0.0348322
1906.208333,-0.031179
1906.291667,-0.0281064
1906.375,-0.0250876
1906.458333,-0.0233527
1906.541667,-0.0221299
1906.625,-0.0227081
1906.708333,-0.0215182
1906.791667,-0.0205231
1906.875,-0.0183815
1906.958333,-0.0152166
1907.041667,-0.0132168
1907.125,-0.0121628
1907.208333,-0.0113817
1907.291667,-0.0723865
1907.375,-0.446096
1907.458333,-0.202629
1907.541667,-0.421742
1907.625,-0.267526
1907.708333,-0.228932
1907.791667,-0.106557
1907.875,-0.318724
1907.958333,-0.203259
1908.041667,-0.154036
1908.125,-0.321637
1908.208333,-0.235525
1908.291667,-0.133284
1908.375,-0.00694698
1908.458333,-0.00720765
1908.541667,-0.00787288
1908.625,-0.0101322
1908.708333,-0.0104296
1908.791667,-0.0107166
1908.875,-0.00973476
1908.958333,-0.00838768
1909.041667,-0.00870794
1909.125,-0.00881752
1909.208333,-0.00823936
1909.291667,-0.00785647
1909.375,-0.00718857
1909.458333,-0.00744997
1909.541667,-0.00811914
1909.625,-0.0103876
1909.708333,-0.0106856
1909.791667,-0.0109745
1909.875,-0.00998974
1909.958333,-0.00863786
1910.041667,-0.00895863
1910.125,-0.00906809
1910.208333,-0.00848745
1910.291667,-0.00810299
1910.375,-0.00743428
1910.458333,-0.00769647
1910.541667,-0.00836963
1910.625,-0.0106475
1910.708333,-0.010946
1910.791667,-0.0112368
1910.875,-0.0102491
1910.958333,-0.0088922
1911.041667,-0.00921364
1911.125,-0.009323
1911.208333,-0.00873955
1911.291667,-0.00835356
1911.375,-0.00768409
1911.458333,-0.00794717
1911.541667,-0.00862437
1911.625,-0.0109118
1911.708333,-0.0112107
1911.791667,-0.0115035
1911.875,-0.0105127
1911.958333,-0.00915094
1912.041667,-0.00947273
1912.125,-0.009582
1912.208333,-0.00899598
1912.291667,-0.00860831
1912.375,-0.0473057
1912.458333,-0.28966
1912.541667,-0.723013
1912.625,-1.0557
1912.708333,-1.20508
1912.791667,-1.27727
1912.875,-1.29584
1912.958333,-1.20378
1913.041667,-1.01431
1913.125,-0.84857
1913.208333,-0.732251
1913.291667,-0.622114
1913.375,-0.524236
1913.458333,-0.45041
1913.541667,-0.390348
1913.625,-0.35116
1913.708333,-0.320644
1913.791667,-0.295186
1913.875,-0.267498
1913.958333,-0.284549
1914.041667,-0.344305
1914.125,-0.341593
1914.208333,-0.289594
1914.291667,-0.246549
1914.375,-0.21121
1914.458333,-0.185886
1914.541667,-0.165962
1914.625,-0.153351
1914.708333,-0.142469
1914.791667,-0.134192
1914.875,-0.125461
1914.958333,-0.101482
1915.041667,-0.0654276
1915.125,-0.0459088
1915.208333,-0.0419941
1915.291667,-0.0388042
1915.375,-0.0358352
1915.458333,-0.03434
1915.541667,-0.033371
1915.625,-0.0341597
1915.708333,-0.0329913
1915.791667,-0.0320194
1915.875,-0.0298309
1915.958333,-0.0233137
1916.041667,-0.0148366
1916.125,-0.0106875
1916.208333,-0.0100945
1916.291667,-0.00970879
1916.375,-0.0090483
1916.458333,-0.00932933
1916.541667,-0.0100379
1916.625,-0.0123812
1916.708333,-0.0126871
1916.791667,-0.012994
1916.875,-0.0119904
1916.958333,-0.0105806
1917.041667,-0.010856
1917.125,-0.0109405
1917.208333,-0.0103403
1917.291667,-0.00994414
1917.375,-0.0092697
1917.458333,-0.00953804
1917.541667,-0.010241
1917.625,-0.0125886
1917.708333,-0.0128908
1917.791667,-0.0131964
1917.875,-0.0121865
1917.958333,-0.0107929
1918.041667,-0.0111161
1918.125,-0.0112248
1918.208333,-0.0106216
1918.291667,-0.0102236
1918.375,-0.00954842
1918.458333,-0.00981769
1918.541667,-0.0105251
1918.625,-0.0128834
1918.708333,-0.0131861
1918.791667,-0.013494
1918.875,-0.0124807
1918.958333,-0.0110814
1919.041667,-0.0114047
1919.125,-0.0115133
1919.208333,-0.0109072
1919.291667,-0.0105074
1919.375,-0.00983125
1919.458333,-0.0101014
1919.541667,-0.0108135
1919.625,-0.0131825
1919.708333,-0.0134858
1919.791667,-0.013796
1919.875,-0.0127793
1919.958333,-0.0113743
1920.041667,-0.0116976
1920.125,-0.011806
1920.208333,-0.0111968
1920.291667,-0.0107952
1920.375,-0.0101182
1920.458333,-0.0103893
1920.541667,-0.011106
1920.625,-0.013486
1920.708333,-0.0137898
1920.791667,-0.0141023
1920.875,-0.0130821
1920.958333,-0.0116715
1921.041667,-0.0119946
1921.125,-0.0121029
1921.208333,-0.0114907
1921.291667,-0.0110872
1921.375,-0.0104093
1921.458333,-0.0106813
1921.541667,-0.0114028
1921.625,-0.0137938
1921.708333,-0.0140982
1921.791667,-0.0144131
1921.875,-0.0133893
